state_action_state_weights
49188 682 1 1
"a" "N" "r" 4100981
"r" "N" "d" 513066
"d" "N" "a" 791206
"a" "N" "l" 4631238
"l" "N" "m" 511363
"m" "N" "" 1560799
"" "N" "c" 64503
"c" "N" "" 1154609
"" "N" "der" 388182
"der" "N" "m" 15729
"m" "N" "o" 1477912
"o" "N" "tt" 81837
"tt" "N" "i" 63121
"i" "N" "s" 4364657
"s" "N" "a" 3568847
"a" "N" "n" 10335745
"n" "N" "i" 3059870
"i" "N" "r" 569301
"r" "N" "i" 3515669
"i" "N" "sh" 530354
"sh" "N" "h" 11819
"h" "N" "ur" 17725
"ur" "N" "l" 14356
"l" "N" "i" 3488795
"i" "N" "ng" 2233714
"ng" "N" "m" 107505
"m" "N" "a" 3278919
"n" "N" "" 3430397
"" "N" "" 6906774
"" "N" "ager" 24202
"ager" "N" "a" 2126
"n" "N" "d" 5394872
"d" "N" "f" 285784
"f" "N" "o" 1485380
"o" "N" "r" 4141229
"r" "N" "m" 758056
"m" "N" "er" 280163
"er" "N" "p" 83041
"p" "N" "l" 1102320
"l" "N" "" 1934927
"" "N" "ayer" 165303
"ayer" "N" "h" 5253
"h" "N" "e" 1334110
"e" "N" "f" 1306311
"er" "N" "l" 165362
"l" "N" "y" 1323233
"y" "N" "p" 230728
"" "N" "ayed" 76351
"ayed" "N" "f" 7813
"r" "N" "a" 3323707
"d" "N" "l" 233909
"l" "N" "a" 3290262
"a" "N" "t" 6118343
"t" "N" "er" 1654885
"er" "N" "m" 270793
"" "N" "aged" 31366
"aged" "N" "th" 2126
"th" "N" "e" 8828007
"e" "N" "d" 298460
"d" "N" "o" 469721
"o" "N" "ne" 124841
"ne" "N" "g" 14955
"g" "N" "a" 1093730
"l" "N" "c" 375196
"c" "N" "ou" 326806
"ou" "N" "nt" 31214
"nt" "N" "y" 31076
"y" "N" "t" 382077
"t" "N" "ea" 188243
"ea" "N" "m" 167390
"m" "N" "h" 127222
"h" "N" "i" 1373818
"s" "N" "c" 2098158
"c" "N" "l" 865049
"l" "N" "u" 533257
"u" "N" "b" 399449
"b" "N" "i" 636146
"s" "N" "b" 829319
"b" "N" "ur" 96650
"ur" "N" "t" 34821
"t" "N" "m" 457635
"tt" "N" "p" 8391
"r" "N" "th" 374138
"f" "N" "u" 275672
"u" "N" "ll" 88579
"ll" "N" "f" 35802
"f" "N" "i" 1230303
"i" "N" "n" 8682805
"n" "N" "a" 4626626
"l" "N" "o" 1591454
"o" "N" "f" 4911995
"f" "N" "th" 1449634
"e" "N" "l" 2311390
"r" "N" "y" 1909150
"y" "N" "m" 486470
"r" "N" "c" 339675
"c" "N" "u" 402286
"u" "N" "p" 87992
"p" "N" "w" 40705
"w" "N" "hi" 234484
"hi" "N" "ch" 159848
"ch" "N" "d" 5420
"o" "N" "n" 5381651
"n" "N" "e" 1789950
"e" "N" "g" 1911265
"l" "N" "w" 231521
"w" "N" "o" 331079
"t" "N" "c" 517378
"c" "N" "r" 913298
"r" "N" "o" 2999267
"o" "N" "ke" 17037
"ke" "N" "" 18460
"" "N" "pa" 925902
"pa" "N" "r" 537238
"r" "N" "k" 386066
"k" "N" "h" 129286
"e" "N" "p" 523416
"f" "N" "or" 419269
"or" "N" "th" 126070
"e" "N" "c" 2393702
"y" "N" "u" 127456
"u" "N" "n" 1720200
"n" "N" "t" 5240752
"t" "N" "i" 4263793
"i" "N" "l" 1587811
"l" "N" "r" 252789
"r" "N" "e" 4130931
"e" "N" "t" 1872654
"ng" "N" "i" 232055
"n" "N" "h" 663238
"f" "N" "ir" 282105
"ir" "N" "s" 261169
"s" "N" "t" 7061587
"t" "N" "s" 2188237
"s" "N" "er" 396882
"er" "N" "v" 291824
"v" "N" "ed" 307716
"ed" "N" "u" 49840
"der" "N" "th" 54586
"e" "N" "m" 2109362
"" "N" "age" 339905
"age" "N" "m" 32716
"m" "N" "e" 2255746
"e" "N" "n" 5356859
"t" "N" "o" 4838199
"f" "N" "r" 1462971
"r" "N" "ay" 24600
"dur" "N" "a" 300
"a" "N" "ck" 270137
"ck" "N" "l" 37232
"er" "N" "s" 1179580
"s" "N" "u" 956828
"u" "N" "" 246524
"" "N" "cc" 128463
"cc" "N" "ee" 10158
"ee" "N" "" 101013
"" "N" "di" 974080
"di" "N" "ng" 316076
"ng" "N" "h" 154192
"i" "N" "m" 1021844
"a" "N" "s" 4530041
"ager" "N" "i" 1145
"e" "N" "w" 731517
"w" "N" "a" 2261267
"a" "N" "p" 370450
"p" "N" "o" 225459
"o" "N" "o" 336465
"o" "N" "i" 319054
"t" "N" "ed" 101050
"ed" "N" "f" 196734
"t" "N" "w" 770993
"o" "N" "year" 1381
"year" "N" "t" 723
"m" "N" "w" 138575
"w" "N" "i" 1635989
"i" "N" "th" 1007568
"th" "N" "th" 227766
"e" "N" "" 2345904
"" "N" "po" 710373
"po" "N" "ss" 34164
"ss" "N" "i" 242399
"i" "N" "b" 481649
"i" "N" "t" 3691843
"t" "N" "y" 1225580
"y" "N" "o" 678722
"f" "N" "a" 1083526
"a" "N" "th" 270612
"th" "N" "" 211280
"" "N" "ird" 53168
"ird" "N" "y" 50
"y" "N" "e" 279035
"e" "N" "a" 1089605
"th" "N" "ough" 72561
"ough" "N" "h" 11692
"" "N" "did" 86387
"did" "N" "n" 67772
"n" "N" "o" 2436058
"o" "N" "t" 1261542
"t" "N" "r" 2746228
"e" "N" "q" 193649
"q" "N" "u" 503864
"u" "N" "e" 232638
"e" "N" "s" 4415041
"t" "N" "th" 838333
"th" "N" "i" 471773
"l" "N" "e" 1844971
"f" "N" "t" 629737
"po" "N" "s" 179537
"n" "N" "m" 779880
"tt" "N" "l" 9164
"" "N" "ed" 1461711
"ed" "N" "th" 406075
"y" "N" "b" 422163
"b" "N" "a" 1492721
"ck" "N" "t" 32613
"o" "N" "" 456399
"di" "N" "v" 153294
"v" "N" "i" 1468599
"s" "N" "io" 301835
"io" "N" "n" 2974434
"n" "N" "b" 706527
"b" "N" "o" 698508
"t" "N" "io" 1999378
"l" "N" "h" 180550
"ng" "N" "l" 140580
"l" "N" "ea" 399091
"ea" "N" "gue" 94372
"gue" "N" "i" 6061
"a" "N" "f" 721660
"er" "N" "th" 247541
"w" "N" "ere" 336853
"ere" "N" "r" 22260
"t" "N" "" 2887644
"p" "N" "r" 1854837
"e" "N" "v" 951939
"i" "N" "ou" 86272
"ou" "N" "s" 211329
"s" "N" "" 2627737
"" "N" "yea" 199284
"yea" "N" "r" 198168
"r" "N" "r" 195634
"f" "N" "er" 262275
"er" "N" "e" 303790
"n" "N" "c" 2175718
"c" "N" "e" 1567699
"c" "N" "a" 4343715
"t" "N" "e" 3044402
"g" "N" "o" 1431919
"y" "N" "y" 26857
"f" "N" "b" 171490
"b" "N" "ir" 100715
"ir" "N" "th" 95806
"th" "N" "m" 70694
"m" "N" "i" 1884776
"i" "N" "ss" 197485
"i" "N" "v" 842875
"n" "N" "g" 1141691
"g" "N" "p" 52462
"p" "N" "e" 385674
"e" "N" "o" 594778
"o" "N" "p" 361348
"a" "N" "te" 871698
"te" "N" "g" 243859
"g" "N" "or" 529479
"or" "N" "y" 618795
"y" "N" "l" 377851
"ng" "N" "p" 93035
"" "N" "op" 430303
"op" "N" "le" 141242
"le" "N" "c" 118659
"b" "N" "u" 678540
"u" "N" "r" 382061
"r" "N" "t" 1642380
"t" "N" "h" 1344996
"l" "N" "er" 107525
"y" "N" "d" 79238
"er" "N" "c" 212474
"c" "N" "o" 3539873
"o" "N" "u" 404883
"y" "N" "h" 270511
"g" "N" "m" 74765
"ager" "N" "s" 10384
"a" "N" "q" 48851
"q" "N" "b" 4894
"o" "N" "l" 1580763
"a" "N" "g" 752045
"g" "N" "h" 166242
"h" "N" "a" 1538922
"l" "N" "s" 1198480
"s" "N" "o" 3018381
"o" "N" "m" 2354901
"i" "N" "z" 265979
"z" "N" "ed" 71608
"ed" "N" "a" 551354
"s" "N" "q" 95007
"l" "N" "g" 167705
"d" "N" "q" 17601
"n" "N" "ow" 171438
"ow" "N" "n" 322981
"h" "N" "-e" 3789
"-e" "N" "f" 574
"f" "N" "z" 14686
"z" "N" "y" 22116
"e" "N" "h" 516661
"h" "N" "q" 5637
"-e" "N" "s" 3758
"a" "N" "y" 289304
"h" "N" "f" 28326
"o" "N" "w" 453018
"w" "N" "z" 5701
"a" "N" "v" 525696
"i" "N" "ll" 621520
"ll" "N" "" 465641
"age" "N" "i" 32047
"n" "N" "ja" 27031
"ja" "N" "pe" 110
"pe" "N" "l" 17831
"q" "N" "-e" 911
"-e" "N" "sh" 136
"sh" "N" "a" 145831
"r" "N" "q" 12302
"q" "N" "i" 32876
"r" "N" "u" 749886
"l" "N" "di" 36372
"di" "N" "s" 393686
"i" "N" "c" 2815886
"c" "N" "t" 1741251
"t" "N" "ja" 6887
"q" "N" "d" 2289
"d" "N" "i" 684733
"t" "N" "a" 3649762
"a" "N" "z" 194586
"z" "N" "n" 13594
"a" "N" "c" 1641636
"n" "N" "p" 313729
"o" "N" "v" 993307
"e" "N" "i" 698622
"e" "N" "ce" 6048
"ce" "N" "n" 67890
"n" "N" "s" 3207524
"u" "N" "s" 1481420
"s" "N" "i" 3303218
"" "N" "popu" 87242
"popu" "N" "l" 123287
"n" "N" "w" 573840
"n" "N" "f" 830066
"l" "N" "ie" 127267
"ie" "N" "s" 605487
"s" "N" "r" 678929
"e" "N" "fe" 34810
"fe" "N" "r" 48464
"y" "N" "popu" 8482
"ed" "N" "p" 53116
"ou" "N" "n" 562617
"r" "N" "n" 431421
"o" "N" "c" 1088976
"n" "N" "u" 398702
"u" "N" "m" 895038
"g" "N" "e" 534371
"f" "N" "her" 224
"her" "N" "b" 1973
"b" "N" "s" 248878
"n" "N" "th" 1850278
"a" "N" "m" 2049351
"y" "N" "a" 1015438
"s" "N" "ph" 34780
"ph" "N" "o" 87111
"o" "N" "de" 50987
"de" "N" "l" 112358
"a" "N" "e" 168054
"" "N" "de" 1098515
"de" "N" "s" 306366
"b" "N" "ed" 56046
"e" "N" "e" 496553
"" "N" "ire" 62868
"ire" "N" "g" 657
"s" "N" "e" 2332277
"de" "N" "m" 117758
"o" "N" "th" 936552
"te" "N" "o" 85356
"f" "N" "w" 126914
"w" "N" "e" 632582
"er" "N" "n" 620038
"a" "N" "u" 254683
"i" "N" "a" 1578838
"a" "N" "k" 419998
"k" "N" "e" 357925
"w" "N" "w" 66077
"w" "N" "or" 410225
"or" "N" "l" 173509
"l" "N" "d" 732327
"d" "N" "ch" 59356
"ch" "N" "e" 215870
"e" "N" "ck" 28518
"f" "N" "s" 321652
"t" "N" "f" 391218
"s" "N" "s" 1234678
"s" "N" "pe" 59680
"pe" "N" "c" 168626
"c" "N" "i" 1003815
"i" "N" "e" 299228
"m" "N" "d" 32188
"d" "N" "r" 745781
"m" "N" "m" 245847
"n" "N" "di" 81216
"di" "N" "i" 2928
"l" "N" "l" 511060
"h" "N" "m" 64659
"n" "N" "j" 26033
"j" "N" "g" 7113
"g" "N" "c" 53336
"c" "N" "le" 15941
"le" "N" "h" 42088
"n" "N" "n" 543523
"l" "N" "p" 199340
"r" "N" "ei" 16069
"ei" "N" "ss" 1455
"ss" "N" "a" 110277
"m" "N" "g" 55356
"g" "N" "r" 1158081
"m" "N" "u" 364008
"m" "N" "k" 40249
"k" "N" "eigh" 209
"eigh" "N" "er" 25
"er" "N" "y" 34280
"y" "N" "f" 328400
"f" "N" "l" 460652
"l" "N" "au" 54626
"au" "N" "s" 114721
"" "N" "ia" 286022
"ia" "N" "a" 23097
"m" "N" "p" 647038
"i" "N" "i" 215082
"ss" "N" "r" 21710
"s" "N" "p" 651680
"p" "N" "h" 68146
"h" "N" "o" 1015485
"o" "N" "d" 171480
"d" "N" "e" 327889
"c" "N" "ea" 25279
"ea" "N" "e" 4077
"" "N" "ge" 238844
"ge" "N" "n" 117566
"" "N" "era" 211831
"era" "N" "c" 8011
"er" "N" "o" 342863
"a" "N" "ll" 990046
"ll" "N" "i" 216037
"i" "N" "d" 221137
"i" "N" "de" 56168
"de" "N" "a" 43786
"n" "N" "de" 93356
"c" "N" "f" 69251
"a" "N" "o" 148614
"f" "N" "au" 20121
"ia" "N" "c" 32357
"a" "N" "x" 54912
"x" "N" "a" 163969
"a" "N" "" 715517
"ed" "N" "i" 591836
"m" "N" "ed" 230086
"ed" "N" "b" 428783
"b" "N" "y" 1016912
"y" "N" "s" 787463
"e" "N" "ph" 75478
"ph" "N" "a" 65652
"i" "N" "che" 1274
"che" "N" "r" 568
"y" "N" "" 557217
"" "N" "jo" 81137
"jo" "N" "h" 11929
"a" "N" "nn" 191178
"nn" "N" "g" 1226
"g" "N" "" 357176
"" "N" "eo" 4670
"eo" "N" "r" 11443
"r" "N" "g" 285596
"g" "N" "ch" 7159
"ch" "N" "r" 128430
"t" "N" "ia" 126718
"ia" "N" "n" 254024
"n" "N" "l" 586686
"l" "N" "eh" 934
"eh" "N" "m" 1144
"a" "N" "w" 460798
"er" "N" "" 241926
"po" "N" "l" 195950
"ayer" "N" "f" 2352
"e" "N" "se" 163418
"se" "N" "t" 47643
"u" "N" "mm" 60309
"mm" "N" "er" 77032
"p" "N" "i" 282455
"c" "N" "s" 193125
"" "N" "wh" 393970
"wh" "N" "e" 134853
"e" "N" "re" 211664
"re" "N" "th" 105054
"r" "N" "" 2621946
"" "N" "oup" 109451
"oup" "N" "s" 29678
"age" "N" "r" 12042
"y" "N" "ja" 11838
"ja" "N" "p" 7833
"p" "N" "a" 238928
"a" "N" "le" 167602
"le" "N" "w" 53245
"ayer" "N" "s" 125747
"th" "N" "s" 235062
"m" "N" "pi" 24413
"pi" "N" "c" 53450
"c" "N" "w" 48457
"y" "N" "w" 291056
"" "N" "pi" 233885
"pi" "N" "" 29019
"" "N" "cs" 136575
"cs" "N" "c" 21503
"a" "N" "me" 420514
"me" "N" "s" 256555
"l" "N" "v" 178516
"v" "N" "er" 871250
"" "N" "eda" 44232
"eda" "N" "l" 40516
"s" "N" "f" 860165
"or" "N" "" 106247
"s" "N" "m" 780779
"te" "N" "r" 134224
"s" "N" "ia" 62739
"t" "N" "u" 505201
"se" "N" "p" 16913
"a" "N" "b" 1202836
"u" "N" "t" 746779
"h" "N" "y" 77630
"b" "N" "r" 929715
"d" "N" "u" 160826
"c" "N" "ie" 113035
"s" "N" "n" 485876
"me" "N" "" 58388
"" "N" "u" 1545408
"s" "N" "ed" 454626
"or" "N" "a" 118369
"w" "N" "" 310997
"" "N" "ide" 343576
"ide" "N" "v" 2882
"v" "N" "" 578922
"f" "N" "" 707895
"di" "N" "ffe" 22781
"ffe" "N" "r" 27212
"t" "N" "t" 668772
"" "N" "ype" 33542
"ype" "N" "s" 11991
"c" "N" "er" 169521
"er" "N" "t" 386734
"t" "N" "ai" 210744
"ai" "N" "n" 572338
"" "N" "igi" 17711
"igi" "N" "n" 12284
"b" "N" "e" 1463097
"c" "N" "au" 86724
"au" "N" "se" 57094
"se" "N" "o" 119272
"e" "N" "u" 238594
"ng" "N" "th" 488463
"e" "N" "th" 324174
"th" "N" "ey" 185367
"ey" "N" "are" 10573
"are" "N" "o" 6479
"u" "N" "l" 751232
"l" "N" "t" 789674
"v" "N" "a" 844316
"" "N" "x" 781364
"x" "N" "h" 33731
"oup" "N" "or" 181
"oup" "N" "th" 3241
"are" "N" "c" 10370
