state_action_state_weights
75 5 3 0
"S0" "Forward" "S0" 88
"S0" "Forward" "S1" 74
"S0" "Forward" "S2" 18
"S0" "Forward" "S3" 68
"S0" "Forward" "S4" 44
"S1" "Forward" "S0" 41
"S1" "Forward" "S1" 64
"S1" "Forward" "S2" 88
"S1" "Forward" "S3" 55
"S1" "Forward" "S4" 78
"S2" "Forward" "S0" 73
"S2" "Forward" "S1" 40
"S2" "Forward" "S2" 48
"S2" "Forward" "S3" 45
"S2" "Forward" "S4" 11
"S3" "Forward" "S0" 70
"S3" "Forward" "S1" 78
"S3" "Forward" "S2" 76
"S3" "Forward" "S3" 25
"S3" "Forward" "S4" 51
"S4" "Forward" "S0" 54
"S4" "Forward" "S1" 7
"S4" "Forward" "S2" 75
"S4" "Forward" "S3" 25
"S4" "Forward" "S4" 100
"S0" "Backward" "S0" 97
"S0" "Backward" "S1" 31
"S0" "Backward" "S2" 65
"S0" "Backward" "S3" 81
"S0" "Backward" "S4" 41
"S1" "Backward" "S0" 97
"S1" "Backward" "S1" 90
"S1" "Backward" "S2" 65
"S1" "Backward" "S3" 36
"S1" "Backward" "S4" 9
"S2" "Backward" "S0" 54
"S2" "Backward" "S1" 23
"S2" "Backward" "S2" 5
"S2" "Backward" "S3" 28
"S2" "Backward" "S4" 71
"S3" "Backward" "S0" 45
"S3" "Backward" "S1" 37
"S3" "Backward" "S2" 49
"S3" "Backward" "S3" 70
"S3" "Backward" "S4" 51
"S4" "Backward" "S0" 74
"S4" "Backward" "S1" 69
"S4" "Backward" "S2" 31
"S4" "Backward" "S3" 55
"S4" "Backward" "S4" 52
"S0" "Turnaround" "S0" 38
"S0" "Turnaround" "S1" 64
"S0" "Turnaround" "S2" 40
"S0" "Turnaround" "S3" 22
"S0" "Turnaround" "S4" 12
"S1" "Turnaround" "S0" 54
"S1" "Turnaround" "S1" 39
"S1" "Turnaround" "S2" 78
"S1" "Turnaround" "S3" 34
"S1" "Turnaround" "S4" 61
"S2" "Turnaround" "S0" 35
"S2" "Turnaround" "S1" 96
"S2" "Turnaround" "S2" 64
"S2" "Turnaround" "S3" 11
"S2" "Turnaround" "S4" 72
"S3" "Turnaround" "S0" 25
"S3" "Turnaround" "S1" 95
"S3" "Turnaround" "S2" 66
"S3" "Turnaround" "S3" 46
"S3" "Turnaround" "S4" 51
"S4" "Turnaround" "S0" 32
"S4" "Turnaround" "S1" 82
"S4" "Turnaround" "S2" 80
"S4" "Turnaround" "S3" 18
"S4" "Turnaround" "S4" 67
